id_plat,nom_plat,id_aliment
1,Entrecote Maturee et Frites,28
2,Magret de Canard au Miel,14
3,Risotto aux Saint Jacques,56
4,Burger Signature a la Truffe,1
5,Blanquette de Veau Tradition,49
6,Pave de Saumon a l Unilaterale,37
7,Plateau de Fromages Affines,6
8,Raclette au Lait Cru Royale,30
9,Kebab Gourmet Veau et Dinde,41
10,Tenders de Poulet Fermier,4
11,Lasagnes a la Bolognaise,42
12,Tartare de Boeuf au Couteau,39
13,Pizza Regina aux Champignons,55
14,Salade Cesar Croustillante,37
15,Souris d Agneau Confite,38
16,Poke Bowl Saumon Avocat,41
